# beta is the volume thermal expansion 
#   T (K)         V(T) (a.u.)^3          F (T) (Ry)       beta (10^(-6) K^(-1))
 0.19900E+03    0.2673427684255E+03   -0.1584349145023E+02   -0.19436835E-01
 0.20200E+03    0.2673428114356E+03   -0.1584355155895E+02    0.12556336E+00
 0.20500E+03    0.2673429698362E+03   -0.1584361274737E+02    0.26829438E+00
 0.20800E+03    0.2673432417953E+03   -0.1584367501110E+02    0.40873000E+00
 0.21100E+03    0.2673436254635E+03   -0.1584373834563E+02    0.54685212E+00
 0.21400E+03    0.2673441189799E+03   -0.1584380274633E+02    0.68264974E+00
 0.21700E+03    0.2673447204778E+03   -0.1584386820848E+02    0.81611828E+00
 0.22000E+03    0.2673454280894E+03   -0.1584393472725E+02    0.94725902E+00
 0.22300E+03    0.2673462399500E+03   -0.1584400229775E+02    0.10760784E+01
 0.22600E+03    0.2673471542025E+03   -0.1584407091498E+02    0.12025873E+01
 0.22900E+03    0.2673481689998E+03   -0.1584414057389E+02    0.13268007E+01
 0.23200E+03    0.2673492825089E+03   -0.1584421126935E+02    0.14487372E+01
 0.23500E+03    0.2673504929129E+03   -0.1584428299618E+02    0.15684184E+01
 0.23800E+03    0.2673517984136E+03   -0.1584435574914E+02    0.16858687E+01
 0.24100E+03    0.2673531972332E+03   -0.1584442952296E+02    0.18011148E+01
 0.24400E+03    0.2673546876164E+03   -0.1584450431232E+02    0.19141854E+01
 0.24700E+03    0.2673562678319E+03   -0.1584458011185E+02    0.20251111E+01
 0.25000E+03    0.2673579361732E+03   -0.1584465691618E+02    0.21339236E+01
 0.25300E+03    0.2673596909604E+03   -0.1584473471988E+02    0.22406564E+01
 0.25600E+03    0.2673615305404E+03   -0.1584481351754E+02    0.23453434E+01
 0.25900E+03    0.2673634532880E+03   -0.1584489330369E+02    0.24480196E+01
 0.26200E+03    0.2673654576063E+03   -0.1584497407288E+02    0.25487207E+01
 0.26500E+03    0.2673675419273E+03   -0.1584505581963E+02    0.26474827E+01
 0.26800E+03    0.2673697047120E+03   -0.1584513853848E+02    0.27443422E+01
 0.27100E+03    0.2673719444510E+03   -0.1584522222393E+02    0.28393355E+01
 0.27400E+03    0.2673742596639E+03   -0.1584530687052E+02    0.29324994E+01
 0.27700E+03    0.2673766489002E+03   -0.1584539247277E+02    0.30238708E+01
 0.28000E+03    0.2673791107385E+03   -0.1584547902521E+02    0.31134861E+01
 0.28300E+03    0.2673816437870E+03   -0.1584556652240E+02    0.32013817E+01
 0.28600E+03    0.2673842466827E+03   -0.1584565495887E+02    0.32875938E+01
 0.28900E+03    0.2673869180918E+03   -0.1584574432921E+02    0.33721584E+01
 0.29200E+03    0.2673896567090E+03   -0.1584583462799E+02    0.34551108E+01
 0.29500E+03    0.2673924612572E+03   -0.1584592584981E+02    0.35364863E+01
 0.29800E+03    0.2673953304876E+03   -0.1584601798931E+02    0.36163194E+01
 0.30100E+03    0.2673982631787E+03   -0.1584611104112E+02    0.36946444E+01
 0.30400E+03    0.2674012581365E+03   -0.1584620499990E+02    0.37714949E+01
 0.30700E+03    0.2674043141935E+03   -0.1584629986036E+02    0.38469039E+01
 0.31000E+03    0.2674074302088E+03   -0.1584639561721E+02    0.39209043E+01
 0.31300E+03    0.2674106050673E+03   -0.1584649226518E+02    0.39935280E+01
 0.31600E+03    0.2674138376792E+03   -0.1584658979905E+02    0.40648062E+01
 0.31900E+03    0.2674171269798E+03   -0.1584668821363E+02    0.41347701E+01
 0.32200E+03    0.2674204719292E+03   -0.1584678750374E+02    0.42034497E+01
 0.32500E+03    0.2674238715108E+03   -0.1584688766424E+02    0.42708747E+01
 0.32800E+03    0.2674273247322E+03   -0.1584698869003E+02    0.43370741E+01
 0.33100E+03    0.2674308306236E+03   -0.1584709057604E+02    0.44020765E+01
 0.33400E+03    0.2674343882380E+03   -0.1584719331721E+02    0.44659095E+01
 0.33700E+03    0.2674379966502E+03   -0.1584729690856E+02    0.45286004E+01
 0.34000E+03    0.2674416549569E+03   -0.1584740134509E+02    0.45901758E+01
 0.34300E+03    0.2674453622756E+03   -0.1584750662187E+02    0.46506617E+01
 0.34600E+03    0.2674491177443E+03   -0.1584761273400E+02    0.47100835E+01
 0.34900E+03    0.2674529205217E+03   -0.1584771967662E+02    0.47684662E+01
 0.35200E+03    0.2674567697856E+03   -0.1584782744488E+02    0.48258338E+01
 0.35500E+03    0.2674606647332E+03   -0.1584793603399E+02    0.48822102E+01
 0.35800E+03    0.2674646045806E+03   -0.1584804543920E+02    0.49376183E+01
 0.36100E+03    0.2674685885620E+03   -0.1584815565577E+02    0.49920809E+01
 0.36400E+03    0.2674726159295E+03   -0.1584826667902E+02    0.50456199E+01
 0.36700E+03    0.2674766859529E+03   -0.1584837850431E+02    0.50982568E+01
 0.37000E+03    0.2674807979186E+03   -0.1584849112701E+02    0.51500126E+01
 0.37300E+03    0.2674849511298E+03   -0.1584860454255E+02    0.52009078E+01
 0.37600E+03    0.2674891449060E+03   -0.1584871874639E+02    0.52509623E+01
 0.37900E+03    0.2674933785823E+03   -0.1584883373403E+02    0.53001956E+01
 0.38200E+03    0.2674976515093E+03   -0.1584894950100E+02    0.53486266E+01
 0.38500E+03    0.2675019630526E+03   -0.1584906604287E+02    0.53962738E+01
 0.38800E+03    0.2675063125923E+03   -0.1584918335525E+02    0.54431554E+01
 0.39100E+03    0.2675106995231E+03   -0.1584930143379E+02    0.54892889E+01
 0.39400E+03    0.2675151232534E+03   -0.1584942027416E+02    0.55346914E+01
 0.39700E+03    0.2675195832050E+03   -0.1584953987208E+02    0.55793796E+01
 0.40000E+03    0.2675240788132E+03   -0.1584966022331E+02    0.56233700E+01
 0.40300E+03    0.2675286095262E+03   -0.1584978132364E+02    0.56666783E+01
 0.40600E+03    0.2675331748045E+03   -0.1584990316889E+02    0.57093200E+01
 0.40900E+03    0.2675377741212E+03   -0.1585002575493E+02    0.57513103E+01
 0.41200E+03    0.2675424069611E+03   -0.1585014907765E+02    0.57926639E+01
 0.41500E+03    0.2675470728207E+03   -0.1585027313298E+02    0.58333951E+01
 0.41800E+03    0.2675517712078E+03   -0.1585039791690E+02    0.58735180E+01
 0.42100E+03    0.2675565016415E+03   -0.1585052342540E+02    0.59130460E+01
 0.42400E+03    0.2675612636513E+03   -0.1585064965453E+02    0.59519926E+01
 0.42700E+03    0.2675660567774E+03   -0.1585077660035E+02    0.59903707E+01
 0.43000E+03    0.2675708805704E+03   -0.1585090425899E+02    0.60281929E+01
 0.43300E+03    0.2675757345907E+03   -0.1585103262656E+02    0.60654715E+01
 0.43600E+03    0.2675806184084E+03   -0.1585116169926E+02    0.61022186E+01
 0.43900E+03    0.2675855316033E+03   -0.1585129147329E+02    0.61384459E+01
 0.44200E+03    0.2675904737642E+03   -0.1585142194489E+02    0.61741646E+01
 0.44500E+03    0.2675954444891E+03   -0.1585155311034E+02    0.62093861E+01
 0.44800E+03    0.2676004433848E+03   -0.1585168496594E+02    0.62441210E+01
 0.45100E+03    0.2676054700665E+03   -0.1585181750804E+02    0.62783801E+01
 0.45400E+03    0.2676105241579E+03   -0.1585195073301E+02    0.63121735E+01
 0.45700E+03    0.2676156052909E+03   -0.1585208463725E+02    0.63455114E+01
 0.46000E+03    0.2676207131052E+03   -0.1585221921720E+02    0.63784036E+01
 0.46300E+03    0.2676258472485E+03   -0.1585235446932E+02    0.64108596E+01
 0.46600E+03    0.2676310073757E+03   -0.1585249039012E+02    0.64428888E+01
 0.46900E+03    0.2676361931494E+03   -0.1585262697613E+02    0.64745002E+01
 0.47200E+03    0.2676414042392E+03   -0.1585276422390E+02    0.65057028E+01
 0.47500E+03    0.2676466403219E+03   -0.1585290213003E+02    0.65365051E+01
 0.47800E+03    0.2676519010810E+03   -0.1585304069113E+02    0.65669156E+01
 0.48100E+03    0.2676571862066E+03   -0.1585317990386E+02    0.65969426E+01
 0.48400E+03    0.2676624953956E+03   -0.1585331976490E+02    0.66265941E+01
 0.48700E+03    0.2676678283510E+03   -0.1585346027095E+02    0.66558780E+01
 0.49000E+03    0.2676731847820E+03   -0.1585360141876E+02    0.66848018E+01
 0.49300E+03    0.2676785644042E+03   -0.1585374320508E+02    0.67133731E+01
 0.49600E+03    0.2676839669385E+03   -0.1585388562672E+02    0.67415992E+01
 0.49900E+03    0.2676893921122E+03   -0.1585402868049E+02    0.67694871E+01
 0.50200E+03    0.2676948396577E+03   -0.1585417236325E+02    0.67970437E+01
 0.50500E+03    0.2677003093134E+03   -0.1585431667187E+02    0.68242760E+01
 0.50800E+03    0.2677058008225E+03   -0.1585446160326E+02    0.68511905E+01
 0.51100E+03    0.2677113139339E+03   -0.1585460715434E+02    0.68777935E+01
 0.51400E+03    0.2677168484014E+03   -0.1585475332209E+02    0.69040915E+01
 0.51700E+03    0.2677224039837E+03   -0.1585490010347E+02    0.69300907E+01
 0.52000E+03    0.2677279804446E+03   -0.1585504749551E+02    0.69557969E+01
 0.52300E+03    0.2677335775524E+03   -0.1585519549524E+02    0.69812161E+01
 0.52600E+03    0.2677391950804E+03   -0.1585534409972E+02    0.70063540E+01
 0.52900E+03    0.2677448328059E+03   -0.1585549330603E+02    0.70312162E+01
 0.53200E+03    0.2677504905112E+03   -0.1585564311130E+02    0.70558082E+01
 0.53500E+03    0.2677561679825E+03   -0.1585579351265E+02    0.70801352E+01
 0.53800E+03    0.2677618650105E+03   -0.1585594450725E+02    0.71042027E+01
 0.54100E+03    0.2677675813898E+03   -0.1585609609228E+02    0.71280155E+01
 0.54400E+03    0.2677733169192E+03   -0.1585624826495E+02    0.71515787E+01
 0.54700E+03    0.2677790714015E+03   -0.1585640102249E+02    0.71748972E+01
 0.55000E+03    0.2677848446430E+03   -0.1585655436217E+02    0.71979756E+01
 0.55300E+03    0.2677906364542E+03   -0.1585670828126E+02    0.72208188E+01
 0.55600E+03    0.2677964466490E+03   -0.1585686277706E+02    0.72434312E+01
 0.55900E+03    0.2678022750450E+03   -0.1585701784690E+02    0.72658172E+01
 0.56200E+03    0.2678081214632E+03   -0.1585717348812E+02    0.72879811E+01
 0.56500E+03    0.2678139857282E+03   -0.1585732969810E+02    0.73099273E+01
 0.56800E+03    0.2678198676678E+03   -0.1585748647422E+02    0.73316598E+01
 0.57100E+03    0.2678257671132E+03   -0.1585764381391E+02    0.73531828E+01
 0.57400E+03    0.2678316838987E+03   -0.1585780171459E+02    0.73745001E+01
 0.57700E+03    0.2678376178619E+03   -0.1585796017373E+02    0.73956157E+01
 0.58000E+03    0.2678435688432E+03   -0.1585811918879E+02    0.74165332E+01
 0.58300E+03    0.2678495366862E+03   -0.1585827875728E+02    0.74372566E+01
 0.58600E+03    0.2678555212375E+03   -0.1585843887672E+02    0.74577893E+01
 0.58900E+03    0.2678615223465E+03   -0.1585859954464E+02    0.74781350E+01
 0.59200E+03    0.2678675398652E+03   -0.1585876075860E+02    0.74982969E+01
 0.59500E+03    0.2678735736486E+03   -0.1585892251619E+02    0.75182787E+01
 0.59800E+03    0.2678796235543E+03   -0.1585908481500E+02    0.75380835E+01
 0.60100E+03    0.2678856894425E+03   -0.1585924765265E+02    0.75577147E+01
 0.60400E+03    0.2678917711760E+03   -0.1585941102678E+02    0.75771754E+01
 0.60700E+03    0.2678978686201E+03   -0.1585957493504E+02    0.75964687E+01
 0.61000E+03    0.2679039816426E+03   -0.1585973937511E+02    0.76155977E+01
 0.61300E+03    0.2679101101137E+03   -0.1585990434469E+02    0.76345653E+01
 0.61600E+03    0.2679162539060E+03   -0.1586006984149E+02    0.76533744E+01
 0.61900E+03    0.2679224128942E+03   -0.1586023586323E+02    0.76720280E+01
 0.62200E+03    0.2679285869555E+03   -0.1586040240767E+02    0.76905287E+01
 0.62500E+03    0.2679347759691E+03   -0.1586056947257E+02    0.77088794E+01
 0.62800E+03    0.2679409798168E+03   -0.1586073705572E+02    0.77270827E+01
 0.63100E+03    0.2679471983818E+03   -0.1586090515493E+02    0.77451412E+01
 0.63400E+03    0.2679534315500E+03   -0.1586107376800E+02    0.77630575E+01
 0.63700E+03    0.2679596792092E+03   -0.1586124289278E+02    0.77808341E+01
 0.64000E+03    0.2679659412490E+03   -0.1586141252712E+02    0.77984735E+01
 0.64300E+03    0.2679722175610E+03   -0.1586158266890E+02    0.78159781E+01
 0.64600E+03    0.2679785080389E+03   -0.1586175331599E+02    0.78333502E+01
 0.64900E+03    0.2679848125780E+03   -0.1586192446630E+02    0.78505921E+01
 0.65200E+03    0.2679911310757E+03   -0.1586209611776E+02    0.78677062E+01
 0.65500E+03    0.2679974634309E+03   -0.1586226826829E+02    0.78846946E+01
 0.65800E+03    0.2680038095445E+03   -0.1586244091585E+02    0.79015595E+01
 0.66100E+03    0.2680101693192E+03   -0.1586261405841E+02    0.79183030E+01
 0.66400E+03    0.2680165426589E+03   -0.1586278769395E+02    0.79349273E+01
 0.66700E+03    0.2680229294698E+03   -0.1586296182047E+02    0.79514343E+01
 0.67000E+03    0.2680293296592E+03   -0.1586313643597E+02    0.79678262E+01
 0.67300E+03    0.2680357431364E+03   -0.1586331153850E+02    0.79841047E+01
 0.67600E+03    0.2680421698119E+03   -0.1586348712610E+02    0.80002719E+01
 0.67900E+03    0.2680486095979E+03   -0.1586366319681E+02    0.80163297E+01
