#   E_kin (Ry)       E_tot (Ry) 
    0.4000000000E+02   -0.2079718241E+03
    0.5000000000E+02   -0.2079743484E+03
    0.6000000000E+02   -0.2079745516E+03
    0.7000000000E+02   -0.2079747433E+03
    0.8000000000E+02   -0.2079748697E+03
    0.9000000000E+02   -0.2079748791E+03
    0.1000000000E+03   -0.2079749062E+03
