# beta is the volume thermal expansion 
#   T (K)     V(T) (a.u.)^3   B (T) (kbar)  d B (T) / dP  beta (10^(-6) K^(-1))
 0.18100E+03 0.2686305435081E+03  0.951659E+03  0.178698E+01    0.29431171E+01
 0.18400E+03 0.2686329807148E+03  0.951393E+03  0.179464E+01    0.31041583E+01
 0.18700E+03 0.2686355467838E+03  0.951126E+03  0.180233E+01    0.32628136E+01
 0.19000E+03 0.2686382397611E+03  0.950858E+03  0.181006E+01    0.34190269E+01
 0.19300E+03 0.2686410576720E+03  0.950588E+03  0.181783E+01    0.35727568E+01
 0.19600E+03 0.2686439984961E+03  0.950317E+03  0.182562E+01    0.37239642E+01
 0.19900E+03 0.2686470601959E+03  0.950045E+03  0.183345E+01    0.38726180E+01
 0.20200E+03 0.2686502407008E+03  0.949771E+03  0.184131E+01    0.40187082E+01
 0.20500E+03 0.2686535379574E+03  0.949497E+03  0.184920E+01    0.41622300E+01
 0.20800E+03 0.2686569498877E+03  0.949222E+03  0.185713E+01    0.43031747E+01
 0.21100E+03 0.2686604744242E+03  0.948945E+03  0.186508E+01    0.44415476E+01
 0.21400E+03 0.2686641094974E+03  0.948668E+03  0.187306E+01    0.45773652E+01
 0.21700E+03 0.2686678530667E+03  0.948389E+03  0.188106E+01    0.47106388E+01
 0.22000E+03 0.2686717030806E+03  0.948110E+03  0.188910E+01    0.48413881E+01
 0.22300E+03 0.2686756575307E+03  0.947830E+03  0.189716E+01    0.49696381E+01
 0.22600E+03 0.2686797144054E+03  0.947549E+03  0.190525E+01    0.50954154E+01
 0.22900E+03 0.2686838717392E+03  0.947267E+03  0.191337E+01    0.52187518E+01
 0.23200E+03 0.2686881275721E+03  0.946985E+03  0.192151E+01    0.53396753E+01
 0.23500E+03 0.2686924799833E+03  0.946701E+03  0.192968E+01    0.54582250E+01
 0.23800E+03 0.2686969270762E+03  0.946417E+03  0.193787E+01    0.55744381E+01
 0.24100E+03 0.2687014669896E+03  0.946132E+03  0.194609E+01    0.56883473E+01
 0.24400E+03 0.2687060978798E+03  0.945846E+03  0.195433E+01    0.57999938E+01
 0.24700E+03 0.2687108179518E+03  0.945560E+03  0.196260E+01    0.59094224E+01
 0.25000E+03 0.2687156254342E+03  0.945273E+03  0.197089E+01    0.60166672E+01
 0.25300E+03 0.2687205185868E+03  0.944985E+03  0.197920E+01    0.61217726E+01
 0.25600E+03 0.2687254957096E+03  0.944696E+03  0.198753E+01    0.62247818E+01
 0.25900E+03 0.2687305551322E+03  0.944407E+03  0.199589E+01    0.63257322E+01
 0.26200E+03 0.2687356952147E+03  0.944117E+03  0.200427E+01    0.64246690E+01
 0.26500E+03 0.2687409143596E+03  0.943827E+03  0.201267E+01    0.65216364E+01
 0.26800E+03 0.2687462109980E+03  0.943536E+03  0.202109E+01    0.66166733E+01
 0.27100E+03 0.2687515835949E+03  0.943244E+03  0.202954E+01    0.67098199E+01
 0.27400E+03 0.2687570306463E+03  0.942952E+03  0.203800E+01    0.68011233E+01
 0.27700E+03 0.2687625506931E+03  0.942659E+03  0.204649E+01    0.68906224E+01
 0.28000E+03 0.2687681422938E+03  0.942365E+03  0.205499E+01    0.69783554E+01
 0.28300E+03 0.2687738040509E+03  0.942071E+03  0.206352E+01    0.70643632E+01
 0.28600E+03 0.2687795345885E+03  0.941776E+03  0.207206E+01    0.71486864E+01
 0.28900E+03 0.2687853325744E+03  0.941480E+03  0.208063E+01    0.72313662E+01
 0.29200E+03 0.2687911966995E+03  0.941184E+03  0.208921E+01    0.73124361E+01
 0.29500E+03 0.2687971256851E+03  0.940888E+03  0.209782E+01    0.73919355E+01
 0.29800E+03 0.2688031182856E+03  0.940591E+03  0.210644E+01    0.74699060E+01
 0.30100E+03 0.2688091732893E+03  0.940293E+03  0.211508E+01    0.75463799E+01
 0.30400E+03 0.2688152895025E+03  0.939995E+03  0.212374E+01    0.76213938E+01
 0.30700E+03 0.2688214657724E+03  0.939696E+03  0.213242E+01    0.76949849E+01
 0.31000E+03 0.2688277009652E+03  0.939396E+03  0.214112E+01    0.77671806E+01
 0.31300E+03 0.2688339939722E+03  0.939096E+03  0.214983E+01    0.78380183E+01
 0.31600E+03 0.2688403437198E+03  0.938796E+03  0.215856E+01    0.79075333E+01
