# equation of state: murnaghan.        chisq = 0.1178D-08
# a0 = 10.2071 a.u., k0 =  916 kbar, dk0 =  5.46 d2k0 =  0.000 emin =  -15.84452
# a0 =  5.40137 Ang, k0 =  91.6 GPa,  V0 = 265.858 (a.u.)^3,  V0 = 39.396 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.            Ry           Ry            Ry        GPa           Ry
#########################################################################
 10.00000     -15.84113     -15.84115     0.00002       6.70      -15.72732
 10.05000     -15.84269     -15.84263    -0.00006       4.86      -15.75893
 10.10000     -15.84363     -15.84366     0.00003       3.17      -15.78820
 10.15000     -15.84425     -15.84429     0.00004       1.62      -15.81554
 10.20000     -15.84453     -15.84452    -0.00001       0.19      -15.84105
 10.25000     -15.84445     -15.84440    -0.00006      -1.11      -15.86484
 10.30000     -15.84391     -15.84393     0.00003      -2.31      -15.88688
 10.35000     -15.84313     -15.84315     0.00002      -3.42      -15.90753
 10.40000     -15.84208     -15.84207    -0.00001      -4.43      -15.92681
