#  E (eV)   dos(E)     Int dos(E)
 11.407279  0.12149086E+01  0.13579733E+02
 11.543335  0.11390090E+01  0.13734703E+02
 11.679392  0.10940629E+01  0.13883558E+02
 11.815449  0.10388549E+01  0.14024901E+02
 11.951506  0.11729255E+01  0.14184486E+02
 12.087563  0.10110055E+01  0.14322040E+02
 12.223620  0.89980749E+00  0.14444465E+02
 12.359677  0.10457363E+01  0.14586745E+02
 12.495734  0.12699718E+01  0.14759533E+02
 12.631791  0.12624324E+01  0.14931296E+02
 12.767848  0.11102684E+01  0.15082356E+02
 12.903905  0.10680522E+01  0.15227672E+02
 13.039962  0.12376901E+01  0.15396068E+02
 13.176018  0.13477407E+01  0.15579437E+02
 13.312075  0.10037362E+01  0.15716003E+02
 13.448132  0.10233298E+01  0.15855234E+02
 13.584189  0.12062549E+01  0.16019353E+02
 13.720246  0.15788317E+01  0.16234164E+02
 13.856303  0.14051313E+01  0.16425342E+02
 13.992360  0.10992701E+01  0.16574905E+02
 14.128417  0.11080105E+01  0.16725658E+02
 14.264474  0.12918596E+01  0.16901424E+02
 14.400531  0.12573829E+01  0.17072500E+02
 14.536588  0.11169462E+01  0.17224468E+02
 14.672645  0.10948214E+01  0.17373426E+02
 14.808702  0.14168322E+01  0.17566196E+02
 14.944758  0.15579351E+01  0.17778164E+02
 15.080815  0.13336546E+01  0.17959617E+02
 15.216872  0.12789318E+01  0.18133624E+02
 15.352929  0.13457293E+01  0.18316720E+02
 15.488986  0.14776510E+01  0.18517765E+02
 15.625043  0.14409625E+01  0.18713818E+02
 15.761100  0.13072765E+01  0.18891682E+02
 15.897157  0.11609754E+01  0.19049640E+02
 16.033214  0.13240399E+01  0.19229785E+02
 16.169271  0.14224483E+01  0.19423319E+02
 16.305328  0.12609416E+01  0.19594879E+02
 16.441385  0.10685121E+01  0.19740257E+02
 16.577441  0.10742294E+01  0.19886414E+02
 16.713498  0.12880664E+01  0.20061664E+02
 16.849555  0.14475972E+01  0.20258620E+02
 16.985612  0.12304354E+01  0.20426029E+02
 17.121669  0.12325940E+01  0.20593732E+02
 17.257726  0.13273129E+01  0.20774322E+02
 17.393783  0.13307097E+01  0.20955374E+02
 17.529840  0.12481373E+01  0.21125192E+02
 17.665897  0.12207125E+01  0.21291278E+02
 17.801954  0.12134617E+01  0.21456378E+02
 17.938011  0.13944478E+01  0.21646102E+02
 18.074068  0.16201749E+01  0.21866538E+02
 18.210124  0.17757436E+01  0.22108141E+02
 18.346181  0.15306192E+01  0.22316392E+02
 18.482238  0.14988772E+01  0.22520325E+02
 18.618295  0.17022035E+01  0.22751921E+02
 18.754352  0.16898421E+01  0.22981836E+02
 18.890409  0.15024217E+01  0.23186251E+02
 19.026466  0.13571175E+01  0.23370896E+02
 19.162523  0.14745678E+01  0.23571521E+02
 19.298580  0.15104683E+01  0.23777031E+02
 19.434637  0.14606563E+01  0.23975763E+02
 19.570694  0.16634649E+01  0.24202089E+02
 19.706751  0.18540710E+01  0.24454348E+02
 19.842808  0.19244819E+01  0.24716187E+02
 19.978864  0.18499724E+01  0.24967889E+02
 20.114921  0.16334537E+01  0.25190131E+02
 20.250978  0.15442978E+01  0.25400244E+02
 20.387035  0.14095050E+01  0.25592017E+02
 20.523092  0.12760833E+01  0.25765637E+02
 20.659149  0.13280696E+01  0.25946330E+02
 20.795206  0.13145831E+01  0.26125188E+02
 20.931263  0.14497183E+01  0.26322432E+02
 21.067320  0.16585392E+01  0.26548088E+02
 21.203377  0.15796285E+01  0.26763007E+02
 21.339434  0.17443398E+01  0.27000337E+02
 21.475491  0.16313680E+01  0.27222296E+02
 21.611547  0.12668477E+01  0.27394659E+02
 21.747604  0.12335227E+01  0.27562488E+02
 21.883661  0.12970614E+01  0.27738963E+02
 22.019718  0.14519687E+01  0.27936513E+02
 22.155775  0.14598547E+01  0.28135136E+02
 22.291832  0.13270615E+01  0.28315692E+02
 22.427889  0.13277869E+01  0.28496347E+02
 22.563946  0.15690686E+01  0.28709829E+02
 22.700003  0.17257062E+01  0.28944624E+02
 22.836060  0.16645336E+01  0.29171095E+02
 22.972117  0.15952889E+01  0.29388145E+02
 23.108174  0.14447553E+01  0.29584714E+02
 23.244230  0.16022719E+01  0.29802714E+02
 23.380287  0.16761354E+01  0.30030764E+02
 23.516344  0.16059314E+01  0.30249262E+02
 23.652401  0.17523958E+01  0.30487688E+02
 23.788458  0.17371924E+01  0.30724045E+02
 23.924515  0.17523964E+01  0.30962470E+02
 24.060572  0.17690114E+01  0.31203157E+02
 24.196629  0.18733489E+01  0.31458039E+02
 24.332686  0.19653252E+01  0.31725435E+02
 24.468743  0.18203179E+01  0.31973102E+02
 24.604800  0.16363132E+01  0.32195733E+02
 24.740857  0.18939293E+01  0.32453416E+02
 24.876914  0.21160501E+01  0.32741319E+02
