# beta is the volume thermal expansion 
#   T (K)         V(T) (a.u.)^3          F (T) (Ry)       beta (10^(-6) K^(-1))
 0.20200E+03    0.1061305611040E+03   -0.4186532576849E+01    0.61146868E+02
 0.20500E+03    0.1061500894359E+03   -0.4186577001293E+01    0.61571674E+02
 0.20800E+03    0.1061697761364E+03   -0.4186622145042E+01    0.61926080E+02
 0.21100E+03    0.1061895375044E+03   -0.4186668013220E+01    0.62220107E+02
 0.21400E+03    0.1062094188828E+03   -0.4186714594233E+01    0.62632565E+02
 0.21700E+03    0.1062294505143E+03   -0.4186761872601E+01    0.62987308E+02
 0.22000E+03    0.1062495655256E+03   -0.4186809853165E+01    0.63266837E+02
 0.22300E+03    0.1062697829582E+03   -0.4186858527949E+01    0.63645857E+02
 0.22600E+03    0.1062901473143E+03   -0.4186907884401E+01    0.63993538E+02
 0.22900E+03    0.1063105942535E+03   -0.4186957922597E+01    0.64278868E+02
 0.23200E+03    0.1063311484620E+03   -0.4187008638339E+01    0.64573747E+02
 0.23500E+03    0.1063517914574E+03   -0.4187060020440E+01    0.64836400E+02
 0.23800E+03    0.1063725212658E+03   -0.4187112063024E+01    0.65137533E+02
 0.24100E+03    0.1063933645188E+03   -0.4187164767101E+01    0.65448098E+02
 0.24400E+03    0.1064143007259E+03   -0.4187218123541E+01    0.65770047E+02
 0.24700E+03    0.1064353577600E+03   -0.4187272120763E+01    0.65994467E+02
 0.25000E+03    0.1064564455943E+03   -0.4187326761090E+01    0.66273385E+02
 0.25300E+03    0.1064776891340E+03   -0.4187382034252E+01    0.66586652E+02
 0.25600E+03    0.1064989855516E+03   -0.4187437936657E+01    0.66806869E+02
 0.25900E+03    0.1065203783166E+03   -0.4187494464881E+01    0.67092124E+02
 0.26200E+03    0.1065418656223E+03   -0.4187551612769E+01    0.67339593E+02
 0.26500E+03    0.1065634252318E+03   -0.4187609377045E+01    0.67551873E+02
 0.26800E+03    0.1065850569759E+03   -0.4187667743223E+01    0.67775622E+02
 0.27100E+03    0.1066067684432E+03   -0.4187726720190E+01    0.68048666E+02
 0.27400E+03    0.1066285836659E+03   -0.4187786289738E+01    0.68308384E+02
 0.27700E+03    0.1066504702006E+03   -0.4187846467150E+01    0.68561174E+02
 0.28000E+03    0.1066724561548E+03   -0.4187907216390E+01    0.68756357E+02
 0.28300E+03    0.1066944766572E+03   -0.4187968561912E+01    0.68966590E+02
 0.28600E+03    0.1067166062803E+03   -0.4188030489006E+01    0.69194472E+02
 0.28900E+03    0.1067387818524E+03   -0.4188092983178E+01    0.69416172E+02
 0.29200E+03    0.1067610626659E+03   -0.4188156054474E+01    0.69623388E+02
 0.29500E+03    0.1067833802538E+03   -0.4188219690971E+01    0.69848800E+02
 0.29800E+03    0.1068058148119E+03   -0.4188283886742E+01    0.70084651E+02
 0.30100E+03    0.1068282929432E+03   -0.4188348646015E+01    0.70230369E+02
 0.30400E+03    0.1068508303546E+03   -0.4188413957420E+01    0.70436421E+02
 0.30700E+03    0.1068734500834E+03   -0.4188479821408E+01    0.70681865E+02
 0.31000E+03    0.1068961544432E+03   -0.4188546218371E+01    0.70895989E+02
 0.31300E+03    0.1069189211349E+03   -0.4188613171850E+01    0.71097605E+02
 0.31600E+03    0.1069417645187E+03   -0.4188680651803E+01    0.71293383E+02
 0.31900E+03    0.1069646665757E+03   -0.4188748668369E+01    0.71417871E+02
 0.32200E+03    0.1069875996510E+03   -0.4188817216614E+01    0.71620249E+02
 0.32500E+03    0.1070106414466E+03   -0.4188886290917E+01    0.71905500E+02
 0.32800E+03    0.1070337675729E+03   -0.4188955885976E+01    0.72077838E+02
 0.33100E+03    0.1070569300222E+03   -0.4189025995720E+01    0.72200064E+02
 0.33400E+03    0.1070801446761E+03   -0.4189096623979E+01    0.72409584E+02
 0.33700E+03    0.1071034517947E+03   -0.4189167765432E+01    0.72622448E+02
 0.34000E+03    0.1071268133653E+03   -0.4189239402809E+01    0.72735244E+02
 0.34300E+03    0.1071502031639E+03   -0.4189311559804E+01    0.72970733E+02
 0.34600E+03    0.1071737263387E+03   -0.4189384202966E+01    0.73173106E+02
 0.34900E+03    0.1071972565706E+03   -0.4189457348127E+01    0.73266022E+02
 0.35200E+03    0.1072208498381E+03   -0.4189530990849E+01    0.73474781E+02
 0.35500E+03    0.1072445247415E+03   -0.4189605117881E+01    0.73689219E+02
 0.35800E+03    0.1072682664298E+03   -0.4189679733323E+01    0.73871190E+02
 0.36100E+03    0.1072920689484E+03   -0.4189754831329E+01    0.73969580E+02
 0.36400E+03    0.1073158845252E+03   -0.4189830417694E+01    0.74104395E+02
 0.36700E+03    0.1073397844205E+03   -0.4189906473625E+01    0.74391228E+02
 0.37000E+03    0.1073637953555E+03   -0.4189983001352E+01    0.74548358E+02
 0.37300E+03    0.1073878071887E+03   -0.4190060005566E+01    0.74665837E+02
 0.37600E+03    0.1074119045584E+03   -0.4190137471590E+01    0.74883300E+02
 0.37900E+03    0.1074360673358E+03   -0.4190215406316E+01    0.75014108E+02
 0.38200E+03    0.1074602598827E+03   -0.4190293806225E+01    0.75164544E+02
 0.38500E+03    0.1074845305448E+03   -0.4190372664388E+01    0.75323458E+02
 0.38800E+03    0.1075088365221E+03   -0.4190451972022E+01    0.75534298E+02
 0.39100E+03    0.1075332541720E+03   -0.4190531737803E+01    0.75673788E+02
 0.39400E+03    0.1075576612140E+03   -0.4190611953369E+01    0.75789144E+02
 0.39700E+03    0.1075821643902E+03   -0.4190692614611E+01    0.76078234E+02
 0.40000E+03    0.1076067691804E+03   -0.4190773721626E+01    0.76199958E+02
 0.40300E+03    0.1076313621776E+03   -0.4190855273918E+01    0.76272540E+02
 0.40600E+03    0.1076560250845E+03   -0.4190937261201E+01    0.76414952E+02
 0.40900E+03    0.1076807213578E+03   -0.4191019688120E+01    0.76641468E+02
 0.41200E+03    0.1077055419362E+03   -0.4191102548717E+01    0.76809271E+02
 0.41500E+03    0.1077303580630E+03   -0.4191185843071E+01    0.76906812E+02
 0.41800E+03    0.1077552531264E+03   -0.4191269560445E+01    0.77132995E+02
 0.42100E+03    0.1077802269756E+03   -0.4191353712080E+01    0.77295382E+02
 0.42400E+03    0.1078052386095E+03   -0.4191438287251E+01    0.77403882E+02
 0.42700E+03    0.1078302942396E+03   -0.4191523279600E+01    0.77543653E+02
 0.43000E+03    0.1078554079388E+03   -0.4191608692375E+01    0.77798945E+02
 0.43300E+03    0.1078806404612E+03   -0.4191694522415E+01    0.77906885E+02
 0.43600E+03    0.1079058358069E+03   -0.4191780770878E+01    0.77973467E+02
 0.43900E+03    0.1079311232140E+03   -0.4191867428329E+01    0.78224802E+02
 0.44200E+03    0.1079564931511E+03   -0.4191954498853E+01    0.78332064E+02
 0.44500E+03    0.1079818619438E+03   -0.4192041969879E+01    0.78377444E+02
 0.44800E+03    0.1080072732050E+03   -0.4192129853117E+01    0.78677303E+02
 0.45100E+03    0.1080328482694E+03   -0.4192218137704E+01    0.78859840E+02
 0.45400E+03    0.1080583899238E+03   -0.4192306820245E+01    0.78901171E+02
 0.45700E+03    0.1080840038704E+03   -0.4192395905799E+01    0.79125899E+02
 0.46000E+03    0.1081097033877E+03   -0.4192485392926E+01    0.79273147E+02
 0.46300E+03    0.1081354250488E+03   -0.4192575267861E+01    0.79419755E+02
 0.46600E+03    0.1081612319213E+03   -0.4192665536786E+01    0.79553130E+02
 0.46900E+03    0.1081870524358E+03   -0.4192756191460E+01    0.79667966E+02
 0.47200E+03    0.1082129461761E+03   -0.4192847241876E+01    0.79815423E+02
 0.47500E+03    0.1082388748080E+03   -0.4192938673953E+01    0.79936455E+02
 0.47800E+03    0.1082648595675E+03   -0.4193030499656E+01    0.80158655E+02
 0.48100E+03    0.1082909450013E+03   -0.4193122699269E+01    0.80294152E+02
 0.48400E+03    0.1083170303451E+03   -0.4193215282139E+01    0.80413869E+02
 0.48700E+03    0.1083432061503E+03   -0.4193308244177E+01    0.80608138E+02
 0.49000E+03    0.1083694304096E+03   -0.4193401580585E+01    0.80727439E+02
 0.49300E+03    0.1083956964699E+03   -0.4193495291970E+01    0.80832187E+02
 0.49600E+03    0.1084220015765E+03   -0.4193589375760E+01    0.81075400E+02
 0.49900E+03    0.1084484386125E+03   -0.4193683837235E+01    0.81190346E+02
 0.50200E+03    0.1084748313738E+03   -0.4193778665342E+01    0.81256025E+02
 0.50500E+03    0.1085013240140E+03   -0.4193873855418E+01    0.81481577E+02
 0.50800E+03    0.1085278765281E+03   -0.4193969418358E+01    0.81639306E+02
 0.51100E+03    0.1085544848572E+03   -0.4194065338486E+01    0.81769904E+02
 0.51400E+03    0.1085811354666E+03   -0.4194161630431E+01    0.81886405E+02
 0.51700E+03    0.1086078327705E+03   -0.4194258271540E+01    0.81994130E+02
 0.52000E+03    0.1086345666951E+03   -0.4194355279476E+01    0.82177576E+02
 0.52300E+03    0.1086613967224E+03   -0.4194452640621E+01    0.82366279E+02
 0.52600E+03    0.1086882669043E+03   -0.4194550365187E+01    0.82452953E+02
 0.52900E+03    0.1087151667338E+03   -0.4194648436776E+01    0.82685100E+02
 0.53200E+03    0.1087422016509E+03   -0.4194746862144E+01    0.82793867E+02
 0.53500E+03    0.1087691858581E+03   -0.4194845636125E+01    0.82889146E+02
 0.53800E+03    0.1087962963607E+03   -0.4194944763464E+01    0.83092324E+02
 0.54100E+03    0.1088234266807E+03   -0.4195044232652E+01    0.83189282E+02
 0.54400E+03    0.1088506140170E+03   -0.4195144052696E+01    0.83334814E+02
 0.54700E+03    0.1088778529544E+03   -0.4195244213315E+01    0.83559268E+02
 0.55000E+03    0.1089052005393E+03   -0.4195344719354E+01    0.83673609E+02
 0.55300E+03    0.1089325279011E+03   -0.4195445564400E+01    0.83795675E+02
 0.55600E+03    0.1089599689876E+03   -0.4195546754808E+01    0.83906058E+02
 0.55900E+03    0.1089873823099E+03   -0.4195648281172E+01    0.83982438E+02
 0.56200E+03    0.1090148871443E+03   -0.4195750145367E+01    0.84267318E+02
 0.56500E+03    0.1090425006625E+03   -0.4195852341955E+01    0.84389974E+02
 0.56800E+03    0.1090700997070E+03   -0.4195954874079E+01    0.84480392E+02
 0.57100E+03    0.1090977863713E+03   -0.4196057740200E+01    0.84697347E+02
 0.57400E+03    0.1091255414652E+03   -0.4196160931931E+01    0.84827089E+02
 0.57700E+03    0.1091533271833E+03   -0.4196264461304E+01    0.84970791E+02
 0.58000E+03    0.1091811905322E+03   -0.4196368316156E+01    0.85096271E+02
 0.58300E+03    0.1092090726561E+03   -0.4196472496654E+01    0.85219419E+02
 0.58600E+03    0.1092370309343E+03   -0.4196576999956E+01    0.85372894E+02
 0.58900E+03    0.1092650279449E+03   -0.4196681836009E+01    0.85521909E+02
 0.59200E+03    0.1092930982567E+03   -0.4196786987098E+01    0.85660286E+02
 0.59500E+03    0.1093212004132E+03   -0.4196892462355E+01    0.85767791E+02
 0.59800E+03    0.1093493556837E+03   -0.4196998261782E+01    0.85964672E+02
 0.60100E+03    0.1093776015024E+03   -0.4197104380171E+01    0.86093569E+02
 0.60400E+03    0.1094058559322E+03   -0.4197210810755E+01    0.86190677E+02
 0.60700E+03    0.1094341800914E+03   -0.4197317566103E+01    0.86447630E+02
 0.61000E+03    0.1094626178854E+03   -0.4197424630051E+01    0.86489805E+02
 0.61300E+03    0.1094909844944E+03   -0.4197532011371E+01    0.86659389E+02
 0.61600E+03    0.1095195484160E+03   -0.4197639705713E+01    0.86820909E+02
 0.61900E+03    0.1095480360146E+03   -0.4197747709584E+01    0.86895433E+02
 0.62200E+03    0.1095766637601E+03   -0.4197856024953E+01    0.87109220E+02
 0.62500E+03    0.1096053068410E+03   -0.4197964650325E+01    0.87177066E+02
 0.62800E+03    0.1096339941744E+03   -0.4198073584690E+01    0.87360956E+02
 0.63100E+03    0.1096627732240E+03   -0.4198182822797E+01    0.87538041E+02
 0.63400E+03    0.1096915921606E+03   -0.4198292370178E+01    0.87663820E+02
 0.63700E+03    0.1097204691282E+03   -0.4198402222011E+01    0.87772159E+02
 0.64000E+03    0.1097493745754E+03   -0.4198512372453E+01    0.87919264E+02
 0.64300E+03    0.1097783636336E+03   -0.4198622834498E+01    0.88028750E+02
 0.64600E+03    0.1098073564884E+03   -0.4198733590923E+01    0.88227900E+02
 0.64900E+03    0.1098364920684E+03   -0.4198844648098E+01    0.88453036E+02
 0.65200E+03    0.1098656487155E+03   -0.4198956005992E+01    0.88480806E+02
 0.65500E+03    0.1098948180752E+03   -0.4199067660237E+01    0.88650210E+02
 0.65800E+03    0.1099241019078E+03   -0.4199179610692E+01    0.88803406E+02
 0.66100E+03    0.1099533878832E+03   -0.4199291860335E+01    0.88967114E+02
 0.66400E+03    0.1099827953217E+03   -0.4199404409563E+01    0.89116935E+02
 0.66700E+03    0.1100121958609E+03   -0.4199517245578E+01    0.89213619E+02
 0.67000E+03    0.1100416828383E+03   -0.4199630371233E+01    0.89347616E+02
 0.67300E+03    0.1100711876332E+03   -0.4199743796551E+01    0.89423746E+02
 0.67600E+03    0.1101007407058E+03   -0.4199857506911E+01    0.89635309E+02
 0.67900E+03    0.1101304011166E+03   -0.4199971509431E+01    0.89812097E+02
 0.68200E+03    0.1101600869593E+03   -0.4200085804069E+01    0.89892369E+02
 0.68500E+03    0.1101898164240E+03   -0.4200200382686E+01    0.90089472E+02
 0.68800E+03    0.1102196486137E+03   -0.4200315249230E+01    0.90195901E+02
 0.69100E+03    0.1102494645874E+03   -0.4200430399856E+01    0.90296097E+02
 0.69400E+03    0.1102793791920E+03   -0.4200545835478E+01    0.90525640E+02
 0.69700E+03    0.1103093632554E+03   -0.4200661555168E+01    0.90612519E+02
 0.70000E+03    0.1103393516478E+03   -0.4200777555534E+01    0.90759508E+02
 0.70300E+03    0.1103694493268E+03   -0.4200893844301E+01    0.90908473E+02
 0.70600E+03    0.1103995527567E+03   -0.4201010409915E+01    0.91044245E+02
 0.70900E+03    0.1104297567907E+03   -0.4201127255100E+01    0.91194829E+02
 0.71200E+03    0.1104599764932E+03   -0.4201244380358E+01    0.91257349E+02
 0.71500E+03    0.1104902384983E+03   -0.4201361786831E+01    0.91426677E+02
 0.71800E+03    0.1105205870256E+03   -0.4201479466859E+01    0.91596463E+02
 0.72100E+03    0.1105509782675E+03   -0.4201597426725E+01    0.91672034E+02
 0.72400E+03    0.1105813936237E+03   -0.4201715654872E+01    0.91860713E+02
