#   E_kin (Ry)       E_tot (Ry) 
    0.4000000000E+02   -0.2079718365E+03
    0.5000000000E+02   -0.2079743609E+03
    0.6000000000E+02   -0.2079745641E+03
    0.7000000000E+02   -0.2079747559E+03
    0.8000000000E+02   -0.2079748823E+03
    0.9000000000E+02   -0.2079748917E+03
    0.1000000000E+03   -0.2079749188E+03
    0.1100000000E+03   -0.2079749443E+03
