# beta is the volume thermal expansion 
#   T (K)         V(T) (a.u.)^3          F (T) (Ry)       beta (10^(-6) K^(-1))
 0.40000E+01    0.2686450606255E+03   -0.1582981437048E+02   -0.50093039E-03
 0.70000E+01    0.2686450599006E+03   -0.1582981437475E+02   -0.19398809E-02
 0.10000E+02    0.2686450574987E+03   -0.1582981438948E+02   -0.48454999E-02
 0.13000E+02    0.2686450520902E+03   -0.1582981442498E+02   -0.10543927E-01
 0.16000E+02    0.2686450405032E+03   -0.1582981449590E+02   -0.22147807E-01
 0.19000E+02    0.2686450163909E+03   -0.1582981462289E+02   -0.44592014E-01
 0.22000E+02    0.2686449686267E+03   -0.1582981483498E+02   -0.83830688E-01
 0.25000E+02    0.2686448812667E+03   -0.1582981517101E+02   -0.14376456E+00
 0.28000E+02    0.2686447368970E+03   -0.1582981567911E+02   -0.22543675E+00
 0.31000E+02    0.2686445178923E+03   -0.1582981641498E+02   -0.32736815E+00
 0.34000E+02    0.2686442092230E+03   -0.1582981743926E+02   -0.44586658E+00
 0.37000E+02    0.2686437992155E+03   -0.1582981881481E+02   -0.57604588E+00
 0.40000E+02    0.2686432807161E+03   -0.1582982060436E+02   -0.71311242E+00
 0.43000E+02    0.2686426497783E+03   -0.1582982286878E+02   -0.85241029E+00
 0.46000E+02    0.2686419067536E+03   -0.1582982566568E+02   -0.98945365E+00
 0.49000E+02    0.2686410549260E+03   -0.1582982904880E+02   -0.11208836E+01
 0.52000E+02    0.2686401000614E+03   -0.1582983306756E+02   -0.12437323E+01
 0.55000E+02    0.2686390502279E+03   -0.1582983776707E+02   -0.13550785E+01
 0.58000E+02    0.2686379158994E+03   -0.1582984318814E+02   -0.14532934E+01
 0.61000E+02    0.2686367077696E+03   -0.1582984936778E+02   -0.15370342E+01
 0.64000E+02    0.2686354384766E+03   -0.1582985633933E+02   -0.16049290E+01
 0.67000E+02    0.2686341209248E+03   -0.1582986413296E+02   -0.16565269E+01
 0.70000E+02    0.2686327684788E+03   -0.1582987277599E+02   -0.16911019E+01
