# beta is the volume thermal expansion 
#   T (K)         V(T) (a.u.)^3          F (T) (Ry)       beta (10^(-6) K^(-1))
 0.12400E+03    0.2675388050480E+03   -0.1584228481233E+02   -0.30194086E+00
 0.12700E+03    0.2675386323467E+03   -0.1584231328506E+02   -0.12646251E+00
 0.13000E+03    0.2675386020464E+03   -0.1584234287055E+02    0.52562541E-01
 0.13300E+03    0.2675387167218E+03   -0.1584237357259E+02    0.23448068E+00
 0.13600E+03    0.2675389784423E+03   -0.1584240539445E+02    0.41868513E+00
 0.13900E+03    0.2675393888093E+03   -0.1584243833887E+02    0.60461512E+00
 0.14200E+03    0.2675399489925E+03   -0.1584247240811E+02    0.79175448E+00
 0.14500E+03    0.2675406597650E+03   -0.1584250760393E+02    0.97963034E+00
 0.14800E+03    0.2675415215382E+03   -0.1584254392764E+02    0.11678113E+01
 0.15100E+03    0.2675425343930E+03   -0.1584258138011E+02    0.13559052E+01
 0.15400E+03    0.2675436981120E+03   -0.1584261996176E+02    0.15435576E+01
 0.15700E+03    0.2675450122077E+03   -0.1584265967263E+02    0.17304490E+01
 0.16000E+03    0.2675464759500E+03   -0.1584270051234E+02    0.19162929E+01
 0.16300E+03    0.2675480883922E+03   -0.1584274248016E+02    0.21008340E+01
 0.16600E+03    0.2675498483946E+03   -0.1584278557501E+02    0.22838451E+01
 0.16900E+03    0.2675517546466E+03   -0.1584282979544E+02    0.24651260E+01
 0.17200E+03    0.2675538056873E+03   -0.1584287513972E+02    0.26445010E+01
 0.17500E+03    0.2675559999244E+03   -0.1584292160578E+02    0.28218169E+01
 0.17800E+03    0.2675583356516E+03   -0.1584296919130E+02    0.29969416E+01
 0.18100E+03    0.2675608110645E+03   -0.1584301789366E+02    0.31697615E+01
 0.18400E+03    0.2675634242754E+03   -0.1584306771000E+02    0.33401811E+01
 0.18700E+03    0.2675661733264E+03   -0.1584311863723E+02    0.35081202E+01
 0.19000E+03    0.2675690562012E+03   -0.1584317067203E+02    0.36735132E+01
 0.19300E+03    0.2675720708372E+03   -0.1584322381086E+02    0.38363077E+01
 0.19600E+03    0.2675752151341E+03   -0.1584327804998E+02    0.39964629E+01
 0.19900E+03    0.2675784869638E+03   -0.1584333338551E+02    0.41539489E+01
 0.20200E+03    0.2675818841782E+03   -0.1584338981334E+02    0.43087451E+01
 0.20500E+03    0.2675854046166E+03   -0.1584344732925E+02    0.44608397E+01
 0.20800E+03    0.2675890461118E+03   -0.1584350592886E+02    0.46102287E+01
 0.21100E+03    0.2675928064967E+03   -0.1584356560764E+02    0.47569147E+01
 0.21400E+03    0.2675966836087E+03   -0.1584362636096E+02    0.49009065E+01
 0.21700E+03    0.2676006752947E+03   -0.1584368818406E+02    0.50422185E+01
 0.22000E+03    0.2676047794152E+03   -0.1584375107207E+02    0.51808696E+01
 0.22300E+03    0.2676089938475E+03   -0.1584381502006E+02    0.53168830E+01
 0.22600E+03    0.2676133164895E+03   -0.1584388002296E+02    0.54502856E+01
 0.22900E+03    0.2676177452616E+03   -0.1584394607567E+02    0.55811075E+01
 0.23200E+03    0.2676222781099E+03   -0.1584401317299E+02    0.57093813E+01
 0.23500E+03    0.2676269130074E+03   -0.1584408130967E+02    0.58351422E+01
 0.23800E+03    0.2676316479565E+03   -0.1584415048040E+02    0.59584274E+01
 0.24100E+03    0.2676364809899E+03   -0.1584422067982E+02    0.60792757E+01
 0.24400E+03    0.2676414101722E+03   -0.1584429190253E+02    0.61977272E+01
 0.24700E+03    0.2676464336006E+03   -0.1584436414308E+02    0.63138232E+01
 0.25000E+03    0.2676515494057E+03   -0.1584443739600E+02    0.64276058E+01
 0.25300E+03    0.2676567557525E+03   -0.1584451165580E+02    0.65391180E+01
 0.25600E+03    0.2676620508405E+03   -0.1584458691694E+02    0.66484031E+01
 0.25900E+03    0.2676674329038E+03   -0.1584466317389E+02    0.67555047E+01
 0.26200E+03    0.2676729002121E+03   -0.1584474042109E+02    0.68604667E+01
 0.26500E+03    0.2676784510699E+03   -0.1584481865299E+02    0.69633329E+01
 0.26800E+03    0.2676840838170E+03   -0.1584489786401E+02    0.70641471E+01
 0.27100E+03    0.2676897968283E+03   -0.1584497804859E+02    0.71629529E+01
 0.27400E+03    0.2676955885135E+03   -0.1584505920114E+02    0.72597936E+01
 0.27700E+03    0.2677014573167E+03   -0.1584514131612E+02    0.73547123E+01
 0.28000E+03    0.2677074017167E+03   -0.1584522438796E+02    0.74477514E+01
 0.28300E+03    0.2677134202258E+03   -0.1584530841111E+02    0.75389531E+01
 0.28600E+03    0.2677195113901E+03   -0.1584539338004E+02    0.76283587E+01
 0.28900E+03    0.2677256737886E+03   -0.1584547928923E+02    0.77160093E+01
 0.29200E+03    0.2677319060329E+03   -0.1584556613318E+02    0.78019452E+01
 0.29500E+03    0.2677382067666E+03   -0.1584565390639E+02    0.78862062E+01
 0.29800E+03    0.2677445746651E+03   -0.1584574260341E+02    0.79688311E+01
 0.30100E+03    0.2677510084343E+03   -0.1584583221880E+02    0.80498582E+01
 0.30400E+03    0.2677575068110E+03   -0.1584592274713E+02    0.81293252E+01
 0.30700E+03    0.2677640685614E+03   -0.1584601418302E+02    0.82072688E+01
 0.31000E+03    0.2677706924811E+03   -0.1584610652110E+02    0.82837253E+01
 0.31300E+03    0.2677773773946E+03   -0.1584619975604E+02    0.83587300E+01
 0.31600E+03    0.2677841221539E+03   -0.1584629388253E+02    0.84323175E+01
 0.31900E+03    0.2677909256390E+03   -0.1584638889529E+02    0.85045217E+01
 0.32200E+03    0.2677977867563E+03   -0.1584648478907E+02    0.85753756E+01
 0.32500E+03    0.2678047044386E+03   -0.1584658155867E+02    0.86449117E+01
 0.32800E+03    0.2678116776444E+03   -0.1584667919890E+02    0.87131617E+01
 0.33100E+03    0.2678187053573E+03   -0.1584677770463E+02    0.87801564E+01
 0.33400E+03    0.2678257865851E+03   -0.1584687707072E+02    0.88459260E+01
 0.33700E+03    0.2678329203597E+03   -0.1584697729212E+02    0.89104999E+01
 0.34000E+03    0.2678401057363E+03   -0.1584707836377E+02    0.89739070E+01
 0.34300E+03    0.2678473417929E+03   -0.1584718028068E+02    0.90361753E+01
 0.34600E+03    0.2678546276295E+03   -0.1584728303787E+02    0.90973321E+01
 0.34900E+03    0.2678619623679E+03   -0.1584738663041E+02    0.91574041E+01
 0.35200E+03    0.2678693451508E+03   -0.1584749105341E+02    0.92164173E+01
 0.35500E+03    0.2678767751419E+03   -0.1584759630200E+02    0.92743973E+01
 0.35800E+03    0.2678842515246E+03   -0.1584770237138E+02    0.93313686E+01
 0.36100E+03    0.2678917735020E+03   -0.1584780925674E+02    0.93873553E+01
 0.36400E+03    0.2678993402961E+03   -0.1584791695336E+02    0.94423810E+01
 0.36700E+03    0.2679069511478E+03   -0.1584802545653E+02    0.94964685E+01
 0.37000E+03    0.2679146053157E+03   -0.1584813476156E+02    0.95496402E+01
 0.37300E+03    0.2679223020764E+03   -0.1584824486384E+02    0.96019179E+01
 0.37600E+03    0.2679300407234E+03   -0.1584835575877E+02    0.96533226E+01
 0.37900E+03    0.2679378205671E+03   -0.1584846744179E+02    0.97038750E+01
 0.38200E+03    0.2679456409341E+03   -0.1584857990839E+02    0.97535951E+01
 0.38500E+03    0.2679535011669E+03   -0.1584869315409E+02    0.98025027E+01
 0.38800E+03    0.2679614006236E+03   -0.1584880717445E+02    0.98506167E+01
 0.39100E+03    0.2679693386771E+03   -0.1584892196506E+02    0.98979556E+01
 0.39400E+03    0.2679773147153E+03   -0.1584903752156E+02    0.99445377E+01
 0.39700E+03    0.2679853281401E+03   -0.1584915383962E+02    0.99903804E+01
 0.40000E+03    0.2679933783675E+03   -0.1584927091495E+02    0.10035501E+02
 0.40300E+03    0.2680014648269E+03   -0.1584938874329E+02    0.10079916E+02
 0.40600E+03    0.2680095869612E+03   -0.1584950732043E+02    0.10123642E+02
 0.40900E+03    0.2680177442258E+03   -0.1584962664218E+02    0.10166695E+02
 0.41200E+03    0.2680259360887E+03   -0.1584974670441E+02    0.10209089E+02
 0.41500E+03    0.2680341620303E+03   -0.1584986750301E+02    0.10250841E+02
 0.41800E+03    0.2680424215428E+03   -0.1584998903390E+02    0.10291965E+02
 0.42100E+03    0.2680507141299E+03   -0.1585011129305E+02    0.10332475E+02
 0.42400E+03    0.2680590393066E+03   -0.1585023427646E+02    0.10372385E+02
 0.42700E+03    0.2680673965988E+03   -0.1585035798016E+02    0.10411708E+02
 0.43000E+03    0.2680757855434E+03   -0.1585048240023E+02    0.10450458E+02
 0.43300E+03    0.2680842056873E+03   -0.1585060753277E+02    0.10488648E+02
 0.43600E+03    0.2680926565879E+03   -0.1585073337393E+02    0.10526289E+02
 0.43900E+03    0.2681011378123E+03   -0.1585085991987E+02    0.10563395E+02
 0.44200E+03    0.2681096489373E+03   -0.1585098716681E+02    0.10599977E+02
 0.44500E+03    0.2681181895491E+03   -0.1585111511098E+02    0.10636047E+02
 0.44800E+03    0.2681267592430E+03   -0.1585124374867E+02    0.10671616E+02
 0.45100E+03    0.2681353576233E+03   -0.1585137307618E+02    0.10706694E+02
 0.45400E+03    0.2681439843028E+03   -0.1585150308986E+02    0.10741294E+02
 0.45700E+03    0.2681526389032E+03   -0.1585163378608E+02    0.10775424E+02
 0.46000E+03    0.2681613210538E+03   -0.1585176516124E+02    0.10809096E+02
 0.46300E+03    0.2681700303926E+03   -0.1585189721178E+02    0.10842320E+02
 0.46600E+03    0.2681787665650E+03   -0.1585202993419E+02    0.10875104E+02
 0.46900E+03    0.2681875292243E+03   -0.1585216332495E+02    0.10907458E+02
 0.47200E+03    0.2681963180310E+03   -0.1585229738060E+02    0.10939393E+02
 0.47500E+03    0.2682051326532E+03   -0.1585243209770E+02    0.10970915E+02
 0.47800E+03    0.2682139727657E+03   -0.1585256747286E+02    0.11002035E+02
 0.48100E+03    0.2682228380506E+03   -0.1585270350269E+02    0.11032761E+02
 0.48400E+03    0.2682317281963E+03   -0.1585284018385E+02    0.11063101E+02
 0.48700E+03    0.2682406428983E+03   -0.1585297751302E+02    0.11093063E+02
 0.49000E+03    0.2682495818581E+03   -0.1585311548692E+02    0.11122655E+02
 0.49300E+03    0.2682585447835E+03   -0.1585325410229E+02    0.11151885E+02
 0.49600E+03    0.2682675313885E+03   -0.1585339335589E+02    0.11180760E+02
 0.49900E+03    0.2682765413931E+03   -0.1585353324455E+02    0.11209288E+02
 0.50200E+03    0.2682855745230E+03   -0.1585367376506E+02    0.11237476E+02
 0.50500E+03    0.2682946305095E+03   -0.1585381491431E+02    0.11265331E+02
 0.50800E+03    0.2683037090895E+03   -0.1585395668916E+02    0.11292859E+02
 0.51100E+03    0.2683128100054E+03   -0.1585409908653E+02    0.11320068E+02
 0.51400E+03    0.2683219330048E+03   -0.1585424210336E+02    0.11346963E+02
 0.51700E+03    0.2683310778403E+03   -0.1585438573661E+02    0.11373552E+02
 0.52000E+03    0.2683402442695E+03   -0.1585452998327E+02    0.11399840E+02
 0.52300E+03    0.2683494320552E+03   -0.1585467484036E+02    0.11425833E+02
 0.52600E+03    0.2683586409647E+03   -0.1585482030492E+02    0.11451538E+02
 0.52900E+03    0.2683678707700E+03   -0.1585496637403E+02    0.11476959E+02
 0.53200E+03    0.2683771212477E+03   -0.1585511304477E+02    0.11502104E+02
 0.53500E+03    0.2683863921788E+03   -0.1585526031426E+02    0.11526976E+02
 0.53800E+03    0.2683956833488E+03   -0.1585540817965E+02    0.11551582E+02
 0.54100E+03    0.2684049945472E+03   -0.1585555663811E+02    0.11575927E+02
 0.54400E+03    0.2684143255678E+03   -0.1585570568682E+02    0.11600015E+02
 0.54700E+03    0.2684236762084E+03   -0.1585585532301E+02    0.11623852E+02
 0.55000E+03    0.2684330462708E+03   -0.1585600554392E+02    0.11647443E+02
 0.55300E+03    0.2684424355604E+03   -0.1585615634680E+02    0.11670793E+02
 0.55600E+03    0.2684518438868E+03   -0.1585630772895E+02    0.11693905E+02
 0.55900E+03    0.2684612710630E+03   -0.1585645968768E+02    0.11716786E+02
 0.56200E+03    0.2684707169057E+03   -0.1585661222031E+02    0.11739438E+02
 0.56500E+03    0.2684801812350E+03   -0.1585676532421E+02    0.11761867E+02
 0.56800E+03    0.2684896638746E+03   -0.1585691899676E+02    0.11784077E+02
 0.57100E+03    0.2684991646515E+03   -0.1585707323534E+02    0.11806071E+02
 0.57400E+03    0.2685086833958E+03   -0.1585722803738E+02    0.11827854E+02
 0.57700E+03    0.2685182199411E+03   -0.1585738340033E+02    0.11849431E+02
 0.58000E+03    0.2685277741241E+03   -0.1585753932165E+02    0.11870804E+02
 0.58300E+03    0.2685373457844E+03   -0.1585769579883E+02    0.11891978E+02
 0.58600E+03    0.2685469347647E+03   -0.1585785282936E+02    0.11912956E+02
 0.58900E+03    0.2685565409106E+03   -0.1585801041078E+02    0.11933741E+02
 0.59200E+03    0.2685661640706E+03   -0.1585816854063E+02    0.11954339E+02
 0.59500E+03    0.2685758040960E+03   -0.1585832721649E+02    0.11974751E+02
 0.59800E+03    0.2685854608409E+03   -0.1585848643593E+02    0.11994982E+02
 0.60100E+03    0.2685951341620E+03   -0.1585864619657E+02    0.12015034E+02
 0.60400E+03    0.2686048239186E+03   -0.1585880649602E+02    0.12034911E+02
 0.60700E+03    0.2686145299728E+03   -0.1585896733194E+02    0.12054616E+02
 0.61000E+03    0.2686242521889E+03   -0.1585912870200E+02    0.12074152E+02
 0.61300E+03    0.2686339904337E+03   -0.1585929060386E+02    0.12093523E+02
 0.61600E+03    0.2686437445768E+03   -0.1585945303525E+02    0.12112731E+02
 0.61900E+03    0.2686535144896E+03   -0.1585961599387E+02    0.12131778E+02
 0.62200E+03    0.2686633000462E+03   -0.1585977947746E+02    0.12150669E+02
 0.62500E+03    0.2686731011228E+03   -0.1585994348379E+02    0.12169406E+02
 0.62800E+03    0.2686829175979E+03   -0.1586010801063E+02    0.12187991E+02
 0.63100E+03    0.2686927493521E+03   -0.1586027305576E+02    0.12206427E+02
 0.63400E+03    0.2687025962679E+03   -0.1586043861701E+02    0.12224717E+02
 0.63700E+03    0.2687124582305E+03   -0.1586060469219E+02    0.12242863E+02
 0.64000E+03    0.2687223351262E+03   -0.1586077127916E+02    0.12260868E+02
 0.64300E+03    0.2687322268443E+03   -0.1586093837577E+02    0.12278734E+02
 0.64600E+03    0.2687421332753E+03   -0.1586110597990E+02    0.12296464E+02
 0.64900E+03    0.2687520543118E+03   -0.1586127408945E+02    0.12314060E+02
 0.65200E+03    0.2687619898485E+03   -0.1586144270232E+02    0.12331524E+02
 0.65500E+03    0.2687719397817E+03   -0.1586161181645E+02    0.12348859E+02
 0.65800E+03    0.2687819040095E+03   -0.1586178142978E+02    0.12366067E+02
 0.66100E+03    0.2687918824318E+03   -0.1586195154027E+02    0.12383150E+02
 0.66400E+03    0.2688018749502E+03   -0.1586212214589E+02    0.12400110E+02
 0.66700E+03    0.2688118814681E+03   -0.1586229324463E+02    0.12416949E+02
 0.67000E+03    0.2688219018904E+03   -0.1586246483451E+02    0.12433669E+02
 0.67300E+03    0.2688319361237E+03   -0.1586263691353E+02    0.12450273E+02
 0.67600E+03    0.2688419840761E+03   -0.1586280947975E+02    0.12466762E+02
 0.67900E+03    0.2688520456573E+03   -0.1586298253120E+02    0.12483138E+02
 0.68200E+03    0.2688621207785E+03   -0.1586315606595E+02    0.12499403E+02
 0.68500E+03    0.2688722093525E+03   -0.1586333008210E+02    0.12515558E+02
 0.68800E+03    0.2688823112935E+03   -0.1586350457772E+02    0.12531607E+02
 0.69100E+03    0.2688924265171E+03   -0.1586367955093E+02    0.12547550E+02
 0.69400E+03    0.2689025549402E+03   -0.1586385499986E+02    0.12563389E+02
 0.69700E+03    0.2689126964813E+03   -0.1586403092263E+02    0.12579126E+02
 0.70000E+03    0.2689228510601E+03   -0.1586420731741E+02    0.12594762E+02
 0.70300E+03    0.2689330185977E+03   -0.1586438418236E+02    0.12610300E+02
 0.70600E+03    0.2689431990166E+03   -0.1586456151565E+02    0.12625741E+02
 0.70900E+03    0.2689533922402E+03   -0.1586473931548E+02    0.12641086E+02
 0.71200E+03    0.2689635981936E+03   -0.1586491758006E+02    0.12656336E+02
 0.71500E+03    0.2689738168028E+03   -0.1586509630760E+02    0.12671495E+02
 0.71800E+03    0.2689840479952E+03   -0.1586527549633E+02    0.12686562E+02
 0.72100E+03    0.2689942916992E+03   -0.1586545514450E+02    0.12701539E+02
 0.72400E+03    0.2690045478446E+03   -0.1586563525036E+02    0.12716429E+02
 0.72700E+03    0.2690148163620E+03   -0.1586581581219E+02    0.12731231E+02
 0.73000E+03    0.2690250971836E+03   -0.1586599682827E+02    0.12745948E+02
 0.73300E+03    0.2690353902421E+03   -0.1586617829689E+02    0.12760582E+02
 0.73600E+03    0.2690456954718E+03   -0.1586636021636E+02    0.12775132E+02
 0.73900E+03    0.2690560128078E+03   -0.1586654258500E+02    0.12789601E+02
 0.74200E+03    0.2690663421860E+03   -0.1586672540113E+02    0.12803990E+02
 0.74500E+03    0.2690766835439E+03   -0.1586690866311E+02    0.12818300E+02
 0.74800E+03    0.2690870368194E+03   -0.1586709236929E+02    0.12832532E+02
 0.75100E+03    0.2690974019518E+03   -0.1586727651804E+02    0.12846688E+02
 0.75400E+03    0.2691077788812E+03   -0.1586746110772E+02    0.12860768E+02
 0.75700E+03    0.2691181675486E+03   -0.1586764613673E+02    0.12874775E+02
 0.76000E+03    0.2691285678960E+03   -0.1586783160348E+02    0.12888708E+02
 0.76300E+03    0.2691389798662E+03   -0.1586801750637E+02    0.12902570E+02
 0.76600E+03    0.2691494034029E+03   -0.1586820384383E+02    0.12916361E+02
 0.76900E+03    0.2691598384510E+03   -0.1586839061429E+02    0.12930082E+02
 0.77200E+03    0.2691702849557E+03   -0.1586857781619E+02    0.12943735E+02
 0.77500E+03    0.2691807428635E+03   -0.1586876544800E+02    0.12957320E+02
 0.77800E+03    0.2691912121216E+03   -0.1586895350817E+02    0.12970838E+02
 0.78100E+03    0.2692016926778E+03   -0.1586914199519E+02    0.12984291E+02
 0.78400E+03    0.2692121844810E+03   -0.1586933090753E+02    0.12997680E+02
 0.78700E+03    0.2692226874808E+03   -0.1586952024371E+02    0.13011005E+02
 0.79000E+03    0.2692332016275E+03   -0.1586971000222E+02    0.13024267E+02
 0.79300E+03    0.2692437268721E+03   -0.1586990018159E+02    0.13037468E+02
 0.79600E+03    0.2692542631665E+03   -0.1587009078034E+02    0.13050608E+02
