# beta is the volume thermal expansion 
#   T (K)         V(T) (a.u.)^3          F (T) (Ry)       beta (10^(-6) K^(-1))
 0.40000E+01    0.2675726704024E+03   -0.1584189464887E+02    0.63886158E-04
 0.70000E+01    0.2675726704904E+03   -0.1584189465210E+02    0.17736717E-03
 0.10000E+02    0.2675726706872E+03   -0.1584189466345E+02    0.79507408E-04
 0.13000E+02    0.2675726706181E+03   -0.1584189469158E+02   -0.15924660E-02
 0.16000E+02    0.2675726681306E+03   -0.1584189474965E+02   -0.85927231E-02
 0.19000E+02    0.2675726568230E+03   -0.1584189485773E+02   -0.27269290E-01
 0.22000E+02    0.2675726243515E+03   -0.1584189504557E+02   -0.64618969E-01
 0.25000E+02    0.2675725530814E+03   -0.1584189535408E+02   -0.12567713E+00
 0.28000E+02    0.2675724225849E+03   -0.1584189583481E+02   -0.21209552E+00
 0.31000E+02    0.2675722125759E+03   -0.1584189654767E+02   -0.32222993E+00
 0.34000E+02    0.2675719052663E+03   -0.1584189755786E+02   -0.45208040E+00
 0.37000E+02    0.2675714867919E+03   -0.1584189893277E+02   -0.59639783E+00
 0.40000E+02    0.2675709477920E+03   -0.1584190073932E+02   -0.74958503E+00
 0.43000E+02    0.2675702833888E+03   -0.1584190304191E+02   -0.90629033E+00
 0.46000E+02    0.2675694928138E+03   -0.1584190590112E+02   -0.10617288E+01
 0.49000E+02    0.2675685788714E+03   -0.1584190937289E+02   -0.12118111E+01
 0.52000E+02    0.2675675473584E+03   -0.1584191350822E+02   -0.13531560E+01
 0.55000E+02    0.2675664065076E+03   -0.1584191835321E+02   -0.14830423E+01
 0.58000E+02    0.2675651664846E+03   -0.1584192394922E+02   -0.15993372E+01
 0.61000E+02    0.2675638389460E+03   -0.1584193033329E+02   -0.17004211E+01
 0.64000E+02    0.2675624366574E+03   -0.1584193753853E+02   -0.17851170E+01
 0.67000E+02    0.2675609731645E+03   -0.1584194559458E+02   -0.18526295E+01
 0.70000E+02    0.2675594625094E+03   -0.1584195452799E+02   -0.19024919E+01
 0.73000E+02    0.2675579189862E+03   -0.1584196436268E+02   -0.19345209E+01
 0.76000E+02    0.2675563569310E+03   -0.1584197512027E+02   -0.19487764E+01
 0.79000E+02    0.2675547905412E+03   -0.1584198682037E+02   -0.19455256E+01
 0.82000E+02    0.2675532337229E+03   -0.1584199948087E+02   -0.19252112E+01
 0.85000E+02    0.2675516999623E+03   -0.1584201311814E+02   -0.18884216E+01
 0.88000E+02    0.2675502022204E+03   -0.1584202774726E+02   -0.18358630E+01
 0.91000E+02    0.2675487528491E+03   -0.1584204338211E+02   -0.17683350E+01
 0.94000E+02    0.2675473635254E+03   -0.1584206003552E+02   -0.16867075E+01
 0.97000E+02    0.2675460452043E+03   -0.1584207771939E+02   -0.15918997E+01
 0.10000E+03    0.2675448080865E+03   -0.1584209644472E+02   -0.14848627E+01
 0.10300E+03    0.2675436616004E+03   -0.1584211622171E+02   -0.13665625E+01
 0.10600E+03    0.2675426143958E+03   -0.1584213705981E+02   -0.12379663E+01
 0.10900E+03    0.2675416743480E+03   -0.1584215896771E+02   -0.11000310E+01
 0.11200E+03    0.2675408485709E+03   -0.1584218195344E+02   -0.95369336E+00
 0.11500E+03    0.2675401434364E+03   -0.1584220602436E+02   -0.79986161E+00
 0.11800E+03    0.2675395646004E+03   -0.1584223118718E+02   -0.63940969E+00
 0.12100E+03    0.2675391170321E+03   -0.1584225744801E+02   -0.47317216E+00
