#  
#   T (K)        V_T(T) (a.u.)^3        B_0(T) (kbar)     dB0/dp       free energy (Ry) 
 0.76300E+03   0.1043593006013E+03   0.8199912954366E+03   0.4936254484671E+01  -0.4188425124867E+01
 0.76600E+03   0.1043593772240E+03   0.8200065954205E+03   0.4936800595379E+01  -0.4188426839009E+01
 0.76900E+03   0.1043594938644E+03   0.8200105629835E+03   0.4937147004058E+01  -0.4188428553726E+01
 0.77200E+03   0.1043595919636E+03   0.8200221811604E+03   0.4937489781718E+01  -0.4188430278897E+01
 0.77500E+03   0.1043597049740E+03   0.8200390355147E+03   0.4937612392613E+01  -0.4188432010865E+01
 0.77800E+03   0.1043598187904E+03   0.8200515825994E+03   0.4937969659321E+01  -0.4188433753086E+01
 0.78100E+03   0.1043599282911E+03   0.8200637641960E+03   0.4938216464630E+01  -0.4188435497483E+01
 0.78400E+03   0.1043600329463E+03   0.8200737769246E+03   0.4938642575939E+01  -0.4188437247026E+01
 0.78700E+03   0.1043601325347E+03   0.8200854664949E+03   0.4939017250277E+01  -0.4188439005078E+01
 0.79000E+03   0.1043602418229E+03   0.8201006939158E+03   0.4939213384870E+01  -0.4188440770193E+01
 0.79300E+03   0.1043603622510E+03   0.8201103379264E+03   0.4939536466797E+01  -0.4188442538287E+01
 0.79600E+03   0.1043604559754E+03   0.8201224020133E+03   0.4940203215709E+01  -0.4188444314144E+01
 0.79900E+03   0.1043605713703E+03   0.8201317293853E+03   0.4940491664341E+01  -0.4188446094428E+01
